"","SettlementPoint","Year","Month","AveragePrice"
"42","HB_BUSAVG",2019,6,25.0855416666667
"43","HB_BUSAVG",2019,7,29.729623655914
"44","HB_BUSAVG",2019,8,126.384086021505
"45","HB_BUSAVG",2019,9,79.615625
"46","HB_BUSAVG",2019,10,28.2470564516129
"47","HB_BUSAVG",2019,11,23.468375
"48","HB_BUSAVG",2019,12,18.7150806451613
"49","HB_HOUSTON",2016,1,19.5657258064516
"50","HB_HOUSTON",2016,2,15.4645402298851
"51","HB_HOUSTON",2016,3,17.1249528936743
"52","HB_HOUSTON",2016,4,18.9409583333333
"53","HB_HOUSTON",2016,5,19.1740860215054
"54","HB_HOUSTON",2016,6,26.2557361111111
"55","HB_HOUSTON",2016,7,29.5389247311828
"56","HB_HOUSTON",2016,8,32.9725403225806
"57","HB_HOUSTON",2016,9,28.7424166666667
"58","HB_HOUSTON",2016,10,28.2495564516129
"59","HB_HOUSTON",2016,11,20.3659305555556
"60","HB_HOUSTON",2016,12,25.7276612903226
"61","HB_HOUSTON",2017,1,24.7818548387097
"62","HB_HOUSTON",2017,2,23.2657142857143
"63","HB_HOUSTON",2017,3,28.2132974427995
"64","HB_HOUSTON",2017,4,32.2957361111111
"65","HB_HOUSTON",2017,5,31.5331720430108
"66","HB_HOUSTON",2017,6,33.1683472222222
"67","HB_HOUSTON",2017,7,34.3758333333333
"68","HB_HOUSTON",2017,8,29.4017204301075
"69","HB_HOUSTON",2017,9,26.5429444444444
"70","HB_HOUSTON",2017,10,30.1412365591398
"71","HB_HOUSTON",2017,11,26.0910555555556
"72","HB_HOUSTON",2017,12,21.5490053763441
"73","HB_HOUSTON",2018,1,37.9447849462366
"74","HB_HOUSTON",2018,2,22.1641071428571
"75","HB_HOUSTON",2018,3,23.7825437415882
"76","HB_HOUSTON",2018,4,24.6526944444444
"77","HB_HOUSTON",2018,5,34.1475537634409
"78","HB_HOUSTON",2018,6,30.6284861111111
"79","HB_HOUSTON",2018,7,79.0340456989247
"80","HB_HOUSTON",2018,8,31.944247311828
"81","HB_HOUSTON",2018,9,27.5813611111111
"82","HB_HOUSTON",2018,10,30.981935483871
"83","HB_HOUSTON",2018,11,31.3192361111111
"84","HB_HOUSTON",2018,12,30.3335483870968
"85","HB_HOUSTON",2019,1,25.4260349462366
"86","HB_HOUSTON",2019,2,21.5078125
"87","HB_HOUSTON",2019,3,27.8320323014805
"88","HB_HOUSTON",2019,4,23.8706527777778
"89","HB_HOUSTON",2019,5,24.7942741935484
"90","HB_HOUSTON",2019,6,26.8976805555556
"91","HB_HOUSTON",2019,7,29.9110080645161
"92","HB_HOUSTON",2019,8,126.625336021505
"93","HB_HOUSTON",2019,9,80.5876527777778
"94","HB_HOUSTON",2019,10,30.3936021505376
"95","HB_HOUSTON",2019,11,24.0215
"96","HB_HOUSTON",2019,12,18.6725
"97","HB_HUBAVG",2016,1,19.2586962365591
"98","HB_HUBAVG",2016,2,15.2692528735632
"99","HB_HUBAVG",2016,3,16.6543472409152
"100","HB_HUBAVG",2016,4,18.1668611111111
"101","HB_HUBAVG",2016,5,18.247002688172
"102","HB_HUBAVG",2016,6,24.2978472222222
"103","HB_HUBAVG",2016,7,27.4592069892473
"104","HB_HUBAVG",2016,8,30.9485349462366
"105","HB_HUBAVG",2016,9,27.1881388888889
"106","HB_HUBAVG",2016,10,25.7690591397849
"107","HB_HUBAVG",2016,11,19.4893055555556
"108","HB_HUBAVG",2016,12,25.3625940860215
"109","HB_HUBAVG",2017,1,23.3255510752688
"110","HB_HUBAVG",2017,2,20.3521279761905
"111","HB_HUBAVG",2017,3,23.2332301480485
"112","HB_HUBAVG",2017,4,24.8304861111111
"113","HB_HUBAVG",2017,5,25.9050268817204
"114","HB_HUBAVG",2017,6,28.5138472222222
"115","HB_HUBAVG",2017,7,31.8644086021505
"116","HB_HUBAVG",2017,8,27.8386155913979
"117","HB_HUBAVG",2017,9,24.5196944444444
"118","HB_HUBAVG",2017,10,24.7014516129032
"119","HB_HUBAVG",2017,11,23.1671388888889
"120","HB_HUBAVG",2017,12,21.2098521505376
"121","HB_HUBAVG",2018,1,37.7730376344086
"122","HB_HUBAVG",2018,2,21.8300595238095
"123","HB_HUBAVG",2018,3,22.4034320323015
"124","HB_HUBAVG",2018,4,22.4503055555556
"125","HB_HUBAVG",2018,5,32.8348521505376
"126","HB_HUBAVG",2018,6,29.7818611111111
"127","HB_HUBAVG",2018,7,78.8323252688172
"128","HB_HUBAVG",2018,8,31.6945833333333
"129","HB_HUBAVG",2018,9,27.0530277777778
"130","HB_HUBAVG",2018,10,29.8891129032258
"131","HB_HUBAVG",2018,11,30.2772083333333
"132","HB_HUBAVG",2018,12,30.1919892473118
"133","HB_HUBAVG",2019,1,24.6834005376344
"134","HB_HUBAVG",2019,2,21.2506398809524
"135","HB_HUBAVG",2019,3,27.1890309555855
